C:\Users\Administrator\AppData\Local\Temp\MSIbd7cc.LOG | 5401984 bytes | sucesso
C:\Users\Administrator\AppData\Local\Temp\MSIc1477.LOG | 175734 bytes | sucesso
C:\Users\Administrator\AppData\Local\Temp\pyright-10792-yFqg4A0dNRbU | 0 bytes | falha: [Errno 13] Permission denied: 'C:\\Users\\Administrator\\AppData\\Local\\Temp\\pyright-10792-yFqg4A0dNRbU'
C:\Users\Administrator\AppData\Local\Temp\Python 3.14.0 (64-bit)_20251123221315.log | 81922 bytes | sucesso
C:\Users\Administrator\AppData\Local\Temp\Python 3.14.0 (64-bit)_20251123221315_000_core_JustForMe.log | 90018 bytes | sucesso
C:\Users\Administrator\AppData\Local\Temp\Python 3.14.0 (64-bit)_20251123221315_001_exe_JustForMe.log | 119998 bytes | sucesso
C:\Users\Administrator\AppData\Local\Temp\Python 3.14.0 (64-bit)_20251123221315_002_dev_JustForMe.log | 688296 bytes | sucesso
C:\Users\Administrator\AppData\Local\Temp\Python 3.14.0 (64-bit)_20251123221315_003_lib_JustForMe.log | 1503932 bytes | sucesso
C:\Users\Administrator\AppData\Local\Temp\Python 3.14.0 (64-bit)_20251123221315_004_test_JustForMe.log | 4206268 bytes | sucesso
C:\Users\Administrator\AppData\Local\Temp\Python 3.14.0 (64-bit)_20251123221315_005_doc_JustForMe.log | 1396136 bytes | sucesso
C:\Users\Administrator\AppData\Local\Temp\Python 3.14.0 (64-bit)_20251123221315_006_tcltk_JustForMe.log | 2739680 bytes | sucesso
C:\Users\Administrator\AppData\Local\Temp\Python 3.14.0 (64-bit)_20251123221315_007_launcher_JustForMe.log | 114946 bytes | sucesso
C:\Users\Administrator\AppData\Local\Temp\Python 3.14.0 (64-bit)_20251123221315_008_pip_JustForMe.log | 117224 bytes | sucesso
C:\Users\Administrator\AppData\Local\Temp\Python 3.14.0 (64-bit)_20251123221315_009_path_JustForMe.log | 90896 bytes | sucesso
C:\Users\Administrator\AppData\Local\Temp\python-languageserver-cancellation | 4096 bytes | falha: [Errno 13] Permission denied: 'C:\\Users\\Administrator\\AppData\\Local\\Temp\\python-languageserver-cancellation'
C:\Users\Administrator\AppData\Local\Temp\Setup Log 2025-11-23 #001.txt | 63670 bytes | sucesso
